epoch,kl_mse_loss,loss,mmd_loss,val_kl_mse_loss,val_loss,val_mmd_loss
0,9.41721967517122e+18,9.41721967517122e+18,96.60207112630208,8.117040701951391e+18,8.117040701951391e+18,78.398486328125
1,9.471661773518221e+18,9.471661773518221e+18,45.31264038085938,8.117040708823338e+18,8.117040708823338e+18,79.164404296875
2,9.658745509503689e+18,9.658745509503689e+18,47.93282674153646,8.11703916950706e+18,8.11703916950706e+18,79.63097534179687
3,9.423007027924793e+18,9.423007027924793e+18,50.256109619140624,8.117034338527844e+18,8.117034338527844e+18,78.176953125
4,9.66106641362318e+18,9.66106641362318e+18,0.0,8.117030373414038e+18,8.117030373414038e+18,79.49213256835938
5,9.417972364181207e+18,9.417972364181207e+18,95.88634033203125,8.117019811230463e+18,8.117019811230463e+18,78.42725830078125
6,9.484233259616725e+18,9.484233259616725e+18,52.151955159505206,8.11700705689558e+18,8.11700705689558e+18,79.81826171875
7,9.589599293979754e+18,9.589599293979754e+18,47.00902099609375,8.117010575332789e+18,8.117010575332789e+18,77.3326904296875
8,9.392200288081177e+18,9.392200288081177e+18,73.407666015625,8.117003978263023e+18,8.117003978263023e+18,75.91892700195312
9,9.471650008743805e+18,9.471650008743805e+18,24.730145263671876,8.117000020021163e+18,8.117000020021163e+18,76.89672241210937
10,9.625257940409227e+18,9.625257940409227e+18,48.8836669921875,8.116997601095582e+18,8.116997601095582e+18,78.14354248046875
11,9.35748943900004e+18,9.35748943900004e+18,21.34473876953125,8.116978029788607e+18,8.116978029788607e+18,77.5796630859375
12,9.441403836578417e+18,9.441403836578417e+18,70.87185465494791,8.116980668616514e+18,8.116980668616514e+18,77.77887573242188
13,9.424448377717645e+18,9.424448377717645e+18,24.02549031575521,8.116971432718841e+18,8.116971432718841e+18,82.1998046875
14,9.640468804170207e+18,9.640468804170207e+18,0.0,8.116968340342388e+18,8.116968340342388e+18,80.70794067382812
15,9.55717401804447e+18,9.55717401804447e+18,24.961578369140625,8.116979555360991e+18,8.116979555360991e+18,80.51904907226563
16,9.654625511158055e+18,9.654625511158055e+18,24.571048990885416,8.116966361221458e+18,8.116966361221458e+18,80.96015014648438
17,9.38556378249747e+18,9.38556378249747e+18,69.59464518229167,8.116968333470439e+18,8.116968333470439e+18,79.2794677734375
18,9.483831827921424e+18,9.483831827921424e+18,71.39476725260417,8.116986365461135e+18,8.116986365461135e+18,77.15062866210937
19,9.64045550007951e+18,9.64045550007951e+18,68.35287882486979,8.116978448977415e+18,8.116978448977415e+18,77.25244750976563
20,9.466586647746734e+18,9.466586647746734e+18,46.55189208984375,8.116984173309827e+18,8.116984173309827e+18,73.32282104492188
21,9.611794237275173e+18,9.611794237275173e+18,25.7829345703125,8.116981534481921e+18,8.116981534481921e+18,70.86204223632812
22,9.5104290874981e+18,9.5104290874981e+18,95.05336100260416,8.116986372333083e+18,8.116986372333083e+18,74.86470947265624
23,9.431156571459482e+18,9.431156571459482e+18,94.15962727864583,8.116979768391369e+18,8.116979768391369e+18,75.8288818359375
24,9.618879178676267e+18,9.618879178676267e+18,27.77645060221354,8.116967020928434e+18,8.116967020928434e+18,72.69788208007813
25,9.454841444636504e+18,9.454841444636504e+18,26.9889892578125,8.116955579135558e+18,8.116955579135558e+18,76.41720581054688
26,9.62521533433365e+18,9.62521533433365e+18,48.62744344075521,8.116962176205324e+18,8.116962176205324e+18,70.76068115234375
27,9.498178292291033e+18,9.498178292291033e+18,73.12304484049479,8.116965914544859e+18,8.116965914544859e+18,72.635791015625
28,9.490594447488836e+18,9.490594447488836e+18,67.61617431640624,8.116970752396021e+18,8.116970752396021e+18,77.63538208007813
29,9.424253507606815e+18,9.424253507606815e+18,67.05912068684896,8.116973171321602e+18,8.116973171321602e+18,70.62985229492188
30,9.663073590424877e+18,9.663073590424877e+18,69.32563069661458,8.116973831028578e+18,8.116973831028578e+18,67.00040893554687
31,9.459539364618891e+18,9.459539364618891e+18,45.88148803710938,8.116969206207794e+18,8.116969206207794e+18,73.74048461914063
32,9.460693118820305e+18,9.460693118820305e+18,23.50701904296875,8.116955579135558e+18,8.116955579135558e+18,73.535693359375
33,9.491612595256156e+18,9.491612595256156e+18,45.234100341796875,8.116951840796023e+18,8.116951840796023e+18,75.70237426757812
34,9.4459475683802e+18,9.4459475683802e+18,72.43813680013021,8.116950074705471e+18,8.116950074705471e+18,75.27791137695313
35,9.415124189260616e+18,9.415124189260616e+18,89.52708740234375,8.116945016951983e+18,8.116945016951983e+18,72.89512939453125
36,9.377116967669019e+18,9.377116967669019e+18,24.479414876302084,8.116933582031055e+18,8.116933582031055e+18,68.05963745117188
37,9.431110941726929e+18,9.431110941726929e+18,75.30634358723958,8.116922147110126e+18,8.116922147110126e+18,71.25765991210938
38,9.488052046751928e+18,9.488052046751928e+18,90.85690714518229,8.116910492286872e+18,8.116910492286872e+18,75.15690307617187
39,9.557100479041765e+18,9.557100479041765e+18,27.04830118815104,8.11690609424036e+18,8.11690609424036e+18,72.1648193359375
40,9.484261736967885e+18,9.484261736967885e+18,74.00711466471354,8.116902362772773e+18,8.116902362772773e+18,70.7989013671875
41,9.407521836012685e+18,9.407521836012685e+18,94.18206787109375,8.116905668179604e+18,8.116905668179604e+18,66.58892822265625
42,9.479187857309573e+18,9.479187857309573e+18,49.95532430013021,8.116901263261145e+18,8.116901263261145e+18,68.51119384765624
43,9.488920184482832e+18,9.488920184482832e+18,71.59938354492188,8.116907633556639e+18,8.116907633556639e+18,70.7546875
44,9.485497991191767e+18,9.485497991191767e+18,21.88232421875,8.116897298147338e+18,8.116897298147338e+18,78.10067749023438
45,9.392087221635453e+18,9.392087221635453e+18,73.93681640625,8.116896205507658e+18,8.116896205507658e+18,70.04140014648438
46,9.356116515480824e+18,9.356116515480824e+18,51.554823811848955,8.116886522933385e+18,8.116886522933385e+18,64.75390625
47,9.459378396116584e+18,9.459378396116584e+18,26.468855794270834,8.116879465443125e+18,8.116879465443125e+18,70.80675048828125
48,9.509897876780333e+18,9.509897876780333e+18,50.08871256510417,8.116886069384839e+18,8.116886069384839e+18,69.36092529296874
49,9.449497598223188e+18,9.449497598223188e+18,44.878196207682294,8.116886062512892e+18,8.116886062512892e+18,66.08164672851562
50,9.408028637572313e+18,9.408028637572313e+18,92.33654378255208,8.116888268408095e+18,8.116888268408095e+18,73.38665771484375
51,9.38544430223392e+18,9.38544430223392e+18,68.0574951171875,8.116894198898937e+18,8.116894198898937e+18,67.96520385742187
52,9.472237954261563e+18,9.472237954261563e+18,89.43288981119791,8.116893312417688e+18,8.116893312417688e+18,69.75652465820312
53,9.465085411220556e+18,9.465085411220556e+18,89.7617431640625,8.116884523196613e+18,8.116884523196613e+18,63.94150390625
54,9.303214503070847e+18,9.303214503070847e+18,46.5895751953125,8.116883210654607e+18,8.116883210654607e+18,61.52327270507813
55,9.391764588273476e+18,9.391764588273476e+18,47.42669881184896,8.116885409677863e+18,8.116885409677863e+18,64.1876220703125
56,9.500206634691566e+18,9.500206634691566e+18,86.45637817382813,8.116888721956641e+18,8.116888721956641e+18,67.70126342773438
57,9.588231171661312e+18,9.588231171661312e+18,65.9348856608073,8.116883203782659e+18,8.116883203782659e+18,63.273291015625
58,9.488670961847204e+18,9.488670961847204e+18,73.93768310546875,8.116887842347339e+18,8.116887842347339e+18,61.830780029296875
59,9.416079518263603e+18,9.416079518263603e+18,22.825555419921876,8.11688015950984e+18,8.11688015950984e+18,59.067230224609375
60,9.444560937616024e+18,9.444560937616024e+18,47.66590169270833,8.116868477198795e+18,8.116868477198795e+18,60.588427734375
61,9.600343886533126e+18,9.600343886533126e+18,0.0,8.11685791501522e+18,8.11685791501522e+18,66.79354248046874
62,9.42983884342398e+18,9.42983884342398e+18,44.72869059244792,8.116849991659553e+18,8.116849991659553e+18,62.86773681640625
63,9.589196597846082e+18,9.589196597846082e+18,43.868157958984376,8.116849785501123e+18,8.116849785501123e+18,60.859649658203125
64,9.445816433293394e+18,9.445816433293394e+18,94.80629475911458,8.1168409894081e+18,8.1168409894081e+18,64.19539184570313
65,9.41604788897911e+18,9.41604788897911e+18,22.153853352864584,8.116830447840369e+18,8.116830447840369e+18,62.35267944335938
66,9.531479769042491e+18,9.531479769042491e+18,49.53262125651042,8.116830214194148e+18,8.116830214194148e+18,61.419464111328125
67,9.362507353516497e+18,9.362507353516497e+18,48.368516031901045,8.116815686896766e+18,8.116815686896766e+18,65.55220947265624
68,9.493625031388473e+18,9.493625031388473e+18,70.87451782226563,8.116802499629181e+18,8.116802499629181e+18,63.63402099609375
69,9.4915256238864e+18,9.4915256238864e+18,22.950750732421874,8.116786879692118e+18,8.116786879692118e+18,60.88380737304688
70,9.40792806890876e+18,9.40792806890876e+18,46.61039428710937,8.116788425880345e+18,8.116788425880345e+18,62.17423706054687
71,9.472146291642196e+18,9.472146291642196e+18,70.76382242838541,8.116791428921478e+18,8.116791428921478e+18,60.61326293945312
72,9.395047143587813e+18,9.395047143587813e+18,41.234659830729164,8.116798094710722e+18,8.116798094710722e+18,63.014501953125
73,9.458370876961665e+18,9.458370876961665e+18,19.57332560221354,8.116793916566536e+18,8.116793916566536e+18,60.325958251953125
74,9.389523673624906e+18,9.389523673624906e+18,22.008420817057292,8.116787965459851e+18,8.116787965459851e+18,58.71879272460937
75,9.464972674628321e+18,9.464972674628321e+18,28.186181640625,8.116770819950406e+18,8.116770819950406e+18,60.721142578125
76,9.428904331841145e+18,9.428904331841145e+18,82.98541259765625,8.116762058217122e+18,8.116762058217122e+18,59.67747192382812
77,9.60239255157358e+18,9.60239255157358e+18,60.005794270833334,8.116767342744882e+18,8.116767342744882e+18,62.06427001953125
